Crop,Herbaceous/woody,Pathway_Fuller,Pathway_Fuller_Cleaned
Zizania_latifolia,Woody, Tuber (but young shoots are eaten),Tuber (but young shoots are eaten)
Semecarpus_anacardium_,Herbaceous,Apparemently not cultivated other than as an ornemental - but medicinal -- get rid off,NA
Cordyline_fruticosa_,Woody,Cultivated as an ornemental -- get rid off??,NA
Panicum_virgatum,Herbaceous,Cultivated as an ornemental -- get rid off??,NA
Petrosedum_rupestre,Herbaceous,Cultivated only as an ornemental -- get rid off??,NA
Puccinellia_nuttalliana,Herbaceous,Cultivation unlikely as fodder,NA
Crotalaria_micans,Herbaceous,Cultivation unsure -- get rid off?,NA
Camellia_japonica_,Woody,Directed pathway -- ornemental,Ornamental
Osmanthus_fragrans,Woody,Directed pathway -- ornemental,Ornamental
Agave_tequilana_,Herbaceous,Ecosystem engineering,Ecosystem engineering
Aloe_vera,Herbaceous,Ecosystem engineering,Ecosystem engineering
Canarium_ovatum,Herbaceous,Ecosystem engineering,Ecosystem engineering
Elaeis_guineensis,Herbaceous,Ecosystem engineering,Ecosystem engineering
Ensete_ventricosum,Herbaceous,Ecosystem engineering,Ecosystem engineering
Pandanus_amaryllifolius,Herbaceous,Ecosystem engineering,Ecosystem engineering
Acer_saccharum_,Woody,Ecosystem engineering,Ecosystem engineering
Adansonia_digitata_,Woody,Ecosystem engineering,Ecosystem engineering
Areca_catechu,Woody,Ecosystem engineering,Ecosystem engineering
Arenga_pinnata_,Woody,Ecosystem engineering,Ecosystem engineering
Argania_spinosa_,Woody,Ecosystem engineering,Ecosystem engineering
Artocarpus_altilis,Woody,Ecosystem engineering,Ecosystem engineering
Artocarpus_heterophyllus_,Woody,Ecosystem engineering,Ecosystem engineering
Artocarpus_integer_,Woody,Ecosystem engineering,Ecosystem engineering
Artocarpus_lacucha_,Woody,Ecosystem engineering,Ecosystem engineering
Artocarpus_rigidus_,Woody,Ecosystem engineering,Ecosystem engineering
Baccaurea_dulcis_,Woody,Ecosystem engineering,Ecosystem engineering
Baccaurea_racemosa_,Woody,Ecosystem engineering,Ecosystem engineering
Baccaurea_ramiflora_,Woody,Ecosystem engineering,Ecosystem engineering
Bactris_gasipaes,Woody,Ecosystem engineering,Ecosystem engineering
Bertholletia_excelsa_,Woody,Ecosystem engineering,Ecosystem engineering
Brosimum_alicastrum,Woody,Ecosystem engineering,Ecosystem engineering
Canarium_indicum,Woody,Ecosystem engineering,Ecosystem engineering
Ceiba_pentandra_,Woody,Ecosystem engineering,Ecosystem engineering
Chamaedorea_tepejilote_,Woody,Ecosystem engineering,Ecosystem engineering
Clausena_anisata,Woody,Ecosystem engineering,Ecosystem engineering
Cocos_nucifera,Woody,Ecosystem engineering,Ecosystem engineering
Crescentia_cujete,Woody,Ecosystem engineering,Ecosystem engineering
Dipteryx_odorata,Woody,Ecosystem engineering,Ecosystem engineering
Euterpe_oleracea_,Woody,Ecosystem engineering,Ecosystem engineering
Genipa_americana_,Woody,Ecosystem engineering,Ecosystem engineering
Inga_edulis,Woody,Ecosystem engineering,Ecosystem engineering
Inga_feuillei,Woody,Ecosystem engineering,Ecosystem engineering
Inga_laurina,Woody,Ecosystem engineering,Ecosystem engineering
Inocarpus_fagifer,Woody,Ecosystem engineering,Ecosystem engineering
Mesua_ferrea_,Woody,Ecosystem engineering,Ecosystem engineering
Metroxylon_sagu_,Woody,Ecosystem engineering,Ecosystem engineering
Pandanus_tectorius,Woody,Ecosystem engineering,Ecosystem engineering
Parmentiera_cereifera,Woody,Ecosystem engineering,Ecosystem engineering
Phoenix_atlantica_,Woody,Ecosystem engineering,Ecosystem engineering
Phoenix_sylvestris_,Woody,Ecosystem engineering,Ecosystem engineering
Pithecellobium_dulce,Woody,Ecosystem engineering,Ecosystem engineering
Pouteria_caimito_,Woody,Ecosystem engineering,Ecosystem engineering
Salacca_zalacca_,Woody,Ecosystem engineering,Ecosystem engineering
Schinus_molle,Woody,Ecosystem engineering,Ecosystem engineering
Sclerocarya_birrea,Woody,Ecosystem engineering,Ecosystem engineering
Spondias_purpurea,Woody,Ecosystem engineering,Ecosystem engineering
Stelechocarpus_burahol,Woody,Ecosystem engineering,Ecosystem engineering
Terminalia_catappa,Woody,Ecosystem engineering,Ecosystem engineering
Theobroma_bicolor,Woody,Ecosystem engineering,Ecosystem engineering
Theobroma_cacao,Woody,Ecosystem engineering,Ecosystem engineering
Theobroma_grandiflorum,Woody,Ecosystem engineering,Ecosystem engineering
Theobroma_microcarpum_,Woody,Ecosystem engineering,Ecosystem engineering
Tylosema_esculentum,Woody,Ecosystem engineering,Ecosystem engineering
Vangueria_madagascariensis_,Woody,Ecosystem engineering,Ecosystem engineering
Laurus_nobilis_,Woody,Ecosystem engineering,Ecosystem engineering
Lecythis_zabucajo,Woody,Ecosystem engineering,Ecosystem engineering
Leptospermum_laevigatum,Woody,Ecosystem engineering,Ecosystem engineering
Limonia_acidissima,Woody,Ecosystem engineering,Ecosystem engineering
Moringa_stenopetala,Woody,Ecosystem engineering,Ecosystem engineering
Murraya_koenigii_,Woody,Ecosystem engineering,Ecosystem engineering
Myristica_fragrans,Woody,Ecosystem engineering,Ecosystem engineering
Ocotea_quixos_,Woody,Ecosystem engineering,Ecosystem engineering
Parkia_biglobosa,Woody,Ecosystem engineering,Ecosystem engineering
Pimenta_dioica,Woody,Ecosystem engineering,Ecosystem engineering
Syzygium_aromaticum,Woody,Ecosystem engineering,Ecosystem engineering
Capparis_spinosa_,Woody,Ecosystem engineering,Ecosystem engineering
Cinnamomum_burmannii,Woody,Ecosystem engineering,Ecosystem engineering
Cinnamomum_loureiroi_,Woody,Ecosystem engineering,Ecosystem engineering
Cinnamomum_tamala_,Woody,Ecosystem engineering,Ecosystem engineering
Cinnamomum_verum,Woody,Ecosystem engineering,Ecosystem engineering
Gleditsia_japonica,Woody,Ecosystem engineering,Ecosystem engineering
Gleditsia_triacanthos,Woody,Ecosystem engineering,Ecosystem engineering
Hovenia_dulcis,Woody,Ecosystem engineering,Ecosystem engineering
Ilex_paraguariensis_,Woody,Ecosystem engineering,Ecosystem engineering
Illicium_verum,Woody,Ecosystem engineering,Ecosystem engineering
