crop.species,age
Abelmoschus_esculentus,4.629211
Abelmoschus_manihot,5.532674
Abelmoschus_moschatus,5.532688
Abutilon_theophrasti,6.892405
Acca_sellowiana,28.951358
Acer_saccharum,12.46643
Acmella_oleracea,NA
Actinidia_arguta,13.01998
Actinidia_deliciosa,7.848467
Actinidia_kolomikta,13.01998
Actinidia_polygama,13.01998
Adansonia_digitata,4.102764
Adenandra_fragrans,10.587203
Aeschynomene_americana,36.165667
Aframomum_melegueta,7.36615
Agave_amica,NA
Agave_tequilana,11.40753
Agropyron_cristatum,1.156951
Allium_ampeloprasum_subsp._ampeloprasum,24.75399
Allium_cepa,24.753988
Allium_chinense,24.75399
Allium_fistulosum,5.499319
Allium_ledebourianum,24.75399
Allium_macrostemon,24.75399
Allium_oschaninii,24.75399
Allium_ramosum,24.75399
Allium_sativum,24.75399
Allium_schoenoprasum,24.75399
Allium_scorodoprasum,18.867746
Allium_tuberosum,24.75399
Allospondias_lakonensis,19.897212
Alocasia_cucullata,21.510992
Alocasia_macrorrhizos,3.655573
Aloe_vera,9.16073
Alpinia_galanga,13.234292
Alpinia_globosa,14.496188
Alpinia_malaccensis,6.861683
Alpinia_officinarum,8.354227
Amaranthus_caudatus,3.994714
Amaranthus_cruentus,3.994714
Amaranthus_dubius,2.504752
Amaranthus_tricolor,2.43591
Amelanchier_alnifolia,5.725757
Amelanchier_canadensis,1.837698
Ammi_majus,1.036181
Amomum_compactum,9.50652
Amomum_subulatum,6.086318
Amomum_verum,9.50652
Amorphophallus_harmandii,56.911717
Amorphophallus_konjac,93.28441
Amorphophallus_paeoniifolius,33.650686
Amphicarpaea_bracteata,6.1615
Anacardium_occidentale,0.216582
Ananas_comosus,0.545577
Ananas_cosmosus_var._parguazensis,2.370632
Anethum_graveolens,10.6709586
Angelica_archangelica,3.823409
Angelica_japonica,3.823409
Annona_cherimola,11.120436
Annona_dolabripetala,17.76076
Annona_leptopetala,17.76076
Annona_macroprophyllata,17.760775
Annona_montana,15.859908
Annona_mucosa,17.76076
Annona_muricata,15.859908
Annona_purpurea,15.859908
Annona_reticulata,11.120437
Annona_scleroderma,17.76076
Annona_squamosa,11.120436
Anredera_baselloides,12.591781
Anredera_cordifolia,12.591781
Anthriscus_cerefolium,22.53232
Antidesma_bunius,12.751969
Apios_americana,4.261162
Apium_graveolens,2.316543
Arachis_glabrata,4.86357
Arachis_hypogaea,4.863573
Arachis_villosulicarpa,4.86357
Aralia_cordata,13.362652
Archidendron_bigeminum,1.50503
Archidendron_jiringa,1.50503
Arctium_lappa,3.23527
Areca_catechu,6.56643
Arenga_pinnata,4.929300637
Argania_spinosa,15.656023
Armoracia_rusticana,7.5702505
Arracacia_xanthorrhiza,1.73325
Artemisia_dracunculus,1.118786
Artocarpus_altilis,4.896874
Artocarpus_heterophyllus,5.550368
Artocarpus_integer,5.550368
Artocarpus_lacucha,2.067323
Artocarpus_rigidus,5.494942
Asclepias_syriaca,6.438328
Asimina_triloba,5.020511
Asparagus_officinalis,0.058839
Atriplex_hortensis,40.249397
Avena_sativa,2.813269
Averrhoa_bilimbi,8.832446
Averrhoa_carambola,8.832446
Azadirachta_indica,23.726198
Baccaurea_dulcis,3.87967
Baccaurea_motleyana,3.87967
Baccaurea_racemosa,3.879655
Baccaurea_ramiflora,3.879655
Bactris_gasipaes,5.8690259
Balanites_aegyptiaca,16.023775
Bambusa_bambos,2.34106
Bambusa_multiplex,2.34106
Bambusa_odashimae,2.34106
Bambusa_vulgaris,2.34106
Barbarea_verna,1.07207
Barbarea_vulgaris,2.430645
Barringtonia_procera,5.77907
Basella_alba,9.242823
Bassia_indica,1.066552
Benincasa_hispida,5.746394
Berberis_vulgaris,0.765973
Bergenia_crassifolia,3.706804
Bertholletia_excelsa,16.03354
Beta_palonga,1.407676
Beta_vulgaris_subsp._vulgaris,1.587059
Bixa_orellana,40.46841
Blainvillea_acmella,NA
Blighia_sapida,54.8011
Blitum_bonus-henricus,28.486866
Blitum_capitatum,28.486866
Blitum_virgatum,28.48686
Boehmeria_nivea,2.047077
Boesenbergia_rotunda,6.632008
Bomarea_edulis,7.464334
Borago_officinalis,10.325532
Bouea_macrophylla,10.304635
Bouteloua_curtipendula,8.809029
Bouteloua_eriopoda,8.80905
Bouteloua_gracilis,8.80905
Bouteloua_repens,8.80905
Brasenia_schreberi,46.672706
Brassica_carinata,24.819169
Brassica_juncea,4.930123
Brassica_napus,4.930123
Brassica_nigra,24.819169
Brassica_oleracea,3.335005
Brassica_rapa,4.930123
Breynia_androgyna,NA
Bromelia_pinguin,8.40879
Bromus_catharticus,6.542623
Bromus_mango,6.54262
Bromus_marginatus,6.54262
Bromus_secalinus,2.989883
Brosimum_alicastrum,7.674502
Broussonetia_luzonica,17.41977
Bunchosia_armeniaca,4.404032
Bunchosia_costaricensis,5.824786
Bunium_bulbocastanum,0.860071
Cajanus_cajan,1.50489
Calathea_allouia,10.60185
Calystegia_sepium,3.862026
Camellia_japonica,1.239398
Camellia_sinensis,8.54468
Camellia_sinensis_var._assamica,7.917881
Campanula_rapunculus,9.76794
Campomanesia_guaviroba,28.182847
Campomanesia_lineatifolia,18.70856
Canarium_album,3.252084
Canarium_indicum,5.433209
Canarium_ovatum,8.811859
Canavalia_cathartica,6.854175
Canavalia_ensiformis,6.8542
Canavalia_gladiata,6.854174
Canavalia_plagiosperma,6.8542
Canna_indica,4.557773
Cannabis_sativa,67.169763
Capparis_spinosa,13.45688
Capsicum_annuum,2.047938
Capsicum_baccatum,2.227387
Capsicum_chinense,2.052509
Capsicum_pubescens,2.440125
Cardiocrinum_cordatum,7.795442
Carica_papaya,32.065173
Carissa_macrocarpa,30.894483
Carpobrotus_edulis,25.15627
Carthamus_tinctorius,4.07889
Carum_carvi,10.325887
Carya_cathayensis,1.282498
Carya_illinoinensis,1.698207
Carya_ovata,1.01845
Caryocar_nuciferum,6.762663
Casimiroa_edulis,15.864785
Castanea_crenata,8.037019
Castanea_dentata,8.037019
Castanea_mollissima,8.037019
Castanea_pumila,4.705344
Castanea_sativa,8.037019
Catha_edulis,9.432215
Ceiba_pentandra,9.418837
Celosia_argentea,15.534056
Cenchrus_americanus,4.568231
Centrosema_pubescens,4.004199
Cephalostachyum_capitatum,1.83284
Ceratonia_siliqua,58.102885
Ceratotheca_sesamoides,3.928897
Cereus_hexagonus,1.86846
Chaerophyllum_bulbosum,3.447609
Chamaedorea_tepejilote,5.34991115
Chamaemelum_nobile,3.060527
Chenopodium_album,13.41278
Chenopodium_berlandieri,1.083198
Chenopodium_pallidicaule,1.843622
Chenopodium_quinoa,1.083199
Chionachne_gigantea,15.034077
Chloranthus_spicatus,38.540711
Chrysanthemum_morifolium,0.158562
Chrysobalanus_icaco,15.506008
Chrysophyllum_cainito,11.550071
Cicer_arietinum,0.683013
Cichorium_endivia,0.517469
